Black,Hispanic,Asian
6.42014E-05,0.001942178,0.00370996
7.83376E-05,0.001329212,0.006973392
0.000120643,0.001290829,0.000407113
0.000378707,0.002781719,0.00152999
0.001881403,0.001639853,0.001899487
0.002742461,0.003967371,0.00516413
0.002973455,0.025201336,0.002924379
0.003038745,0.003056291,0.000862167
0.003549223,0.002998147,0.003717568
0.003997149,0.006975726,0.004376673
0.004122245,0.010484093,0.021961371
0.0042627,0.005034977,0.023034576
0.004891903,0.001306995,0.014468047
0.005137522,0.001265103,0.004655544
0.00527375,0.005731864,0.007947337
0.005276245,0.009701106,0.001231053
0.00549666,0.019450067,0.000158851
0.00583481,0.007121312,0.00337094
0.00612921,0.004402604,0.00600946
0.00626258,0.004200155,0.002694304
0.007408858,0.01753542,0.011316792
0.007806935,1.66467E-05,0.010256526
0.00939767,0.007283234,0.007729926
0.009819777,0.027348083,0.002497851
0.009918124,0.010397571,0.003739824
0.009981398,0.011957798,0.008059547
0.011724256,0.014354042,0.017633013
0.012338584,0.013735985,0.005332548
0.013904935,0.002381853,0.00600372
0.014462624,0.012527922,0.012106766
0.014881018,0.000689033,0.001668293
0.015966316,0.014104885,0.015939434
0.017638528,0.012904136,0.020510849
0.018292538,0.003926001,0.001947272
0.018741503,0.015991324,0.001256741
0.019525954,0.013989586,0.006333318
0.020841381,0.013304951,0.006531733
0.021058385,0.015620547,0.003041935
0.021754264,0.002676768,0.002077154
0.022990572,0.000606668,0.001561958
0.024633613,0.008825407,0.076376101
0.025123613,0.026229823,0.021691449
0.026202449,0.002410124,0.042166606
0.027713961,0.026016069,0.015824389
0.030455021,0.020983702,0.049798189
0.031368965,0.028650439,0.001805136
0.033446773,0.042616948,0.008020365
0.033634581,0.039466131,0.028978754
0.047901558,0.050290053,0.039317449
0.049272939,0.039742771,0.046638727
0.050117332,0.047890372,0.005966898
0.087611884,0.070509023,0.00339986
0.095657669,0.100970111,0.064415366
